equip_id_raw,equip_id_norm,device_name_norm,device_name_raw,gcb_count,multi_device,equip_aliases,fab_or_line,notes
WPSK412900,WPSK412900,SUPRA_VPLUS,SUPRA Vplus,23,False,WPSK412900,,
WPSK7A1M00,WPSK7A1M00,SUPRA_VPLUS,SUPRA Vplus,23,False,WPSK7A1M00,,
ADES07,ADES07,ECOLITE_3000,ECOLITE 3000,23,True,ADES07,,models=ECOLITE 3000|ECOLITE3000
SPN401,SPN401,SUPRA_VPLUS,SUPRA Vplus,22,False,SPN401,,
EVPS-A01,EVPS-A01,PRECIA,PRECIA,22,False,EVPS-A01|EVPSA01,,
DES007,DES007,ECOLITE_3000,ECOLITE 3000,22,True,DES007,,models=ECOLITE 3000|ECOLITE3000
M04CRE01,M04CRE01,GENEVA_STP300_XP,GENEVA STP300 xp,22,True,M04CRE01,,models=GENEVA STP300 xp|GENEVA xp
SFP591,SFP591,SUPRA_V,SUPRA V,21,True,SFP591,,models=SUPRA V|SUPRA Vplus
DES005,DES005,ECOLITE_3000,ECOLITE 3000,21,True,DES005,,models=ECOLITE 3000|ECOLITE3000
SGGVLF0400,SGGVLF0400,GENEVA_STP300_XP,GENEVA STP300 xp,21,False,SGGVLF0400,,
SGGVLF0300,SGGVLF0300,GENEVA_STP300_XP,GENEVA STP300 xp,21,False,SGGVLF0300,,
RFL003,RFL003,GENEVA_STP300,GENEVA STP300,21,True,RFL003,,models=GENEVA STP300|GENEVA STP300 mini x|GENEVA STP300 xp
850-03,850-03,GENEVA_STP300,GENEVA STP300,21,True,850-03|85003,,models=GENEVA STP300|GENEVA xp
APT405,APT405,SUPRA_XP,SUPRA XP,20,False,APT405,,
SPN402,SPN402,SUPRA_VPLUS,SUPRA Vplus,20,False,SPN402,,
ASHC104,ASHC104,SUPRA_N,SUPRA N,20,True,ASHC104,,models=SUPRA N|TIGMA N
SGGVLF0500,SGGVLF0500,GENEVA_STP300_XP,GENEVA STP300 xp,20,False,SGGVLF0500,,
RFL001,RFL001,GENEVA_STP300,GENEVA STP300,20,False,RFL001,,
M01PRE01,M01PRE01,GENEVA_STP300_XP,GENEVA STP300 xp,20,True,M01PRE01,,models=GENEVA STP300 xp|GENEVA xp
EPAS11,EPAS11,SUPRA_VM,SUPRA Vm,19,False,EPAS11,inferred_from_prefix,
ASH201A,ASH201A,SUPRA_IV,SUPRA IV,19,True,ASH201A,,models=SUPRA IV|SUPRA Ⅳ
DESO1,DESO1,ECOLITE_3000,ECOLITE3000,19,False,DESO1,,
PSX21900,PSX21900,SUPRA_VM,SUPRA Vm,19,False,PSX21900,,
850-02,850-02,GENEVA_STP300,GENEVA STP300,19,True,850-02|85002,,models=GENEVA STP300|GENEVA xp
5PSP1901,5PSP1901,SUPRA_N,SUPRA N,18,False,5PSP1901,,
EPE37U1,EPE37U1,PRECIA,PRECIA,18,False,EPE37U1,inferred_from_prefix,
SPN701,SPN701,SUPRA_VI,SUPRA Vi,18,True,SPN701,,models=SUPRA Vi|SUPRA Vi plus|SUPRA Vplus|TIGMA Vplus
STRIP-01,STRIP-01,SUPRA_VM,SUPRA Vm,18,True,STRIP-01|STRIP01,,models=SUPRA Vm|TERA 21|TERA21
UDES91,UDES91,ECOLITE_3000,ECOLITE 3000,18,True,UDES91,,models=ECOLITE 3000|ECOLITE Ⅱ|ECOLITE3000
DES006,DES006,ECOLITE_3000,ECOLITE 3000,18,True,DES006,,models=ECOLITE 3000|ECOLITE3000
W703IR,W703IR,ECOLITE_II,ECOLITE II,18,True,W703IR,,models=ECOLITE II|GENEVA STP300 xp|GENEVA xp
EVPAL05,EVPAL05,ECOLITE_3000,ECOLITE3000,17,True,EVPAL05,,models=ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
ADESC01,ADESC01,ECOLITE_3000,ECOLITE 3000,17,True,ADESC01,,models=ECOLITE 3000|ECOLITE3000
790-07,790-07,ECOLITE_3000,ECOLITE 3000,17,True,790-07|79007,,models=ECOLITE 3000|ECOLITE3000|Ecolite3000
RFL004,RFL004,GENEVA_STP300_XP,GENEVA STP300 xp,17,True,RFL004,,models=GENEVA STP300 xp|GENEVA xp
LWRL12,LWRL12,GENEVA_STP300_XP,GENEVA STP300 xp,17,True,LWRL12,,models=GENEVA STP300 xp|GENEVA xp
RFL002,RFL002,GENEVA_STP300,GENEVA STP300,17,True,RFL002,,models=GENEVA STP300|GENEVA STP300 mini x
RFL005,RFL005,GENEVA_STP300_XP,GENEVA STP300 xp,17,True,RFL005,,models=GENEVA STP300 xp|GENEVA xp
URFL93,URFL93,GENEVA_STP300_XP,GENEVA STP300 xp,17,True,URFL93,,models=GENEVA STP300 xp|GENEVA xp
DPCG57,DPCG57,ETC.,Etc.,16,True,DPCG57,,models=Etc.|INTEGER IV|INTEGER IVr|INTEGER Ivr|INTEGER plus
AASHD01,AASHD01,SUPRA_N,SUPRA N,16,False,AASHD01,,
WPSKAXDD00,WPSKAXDD00,OMNIS,OMNIS,16,False,WPSKAXDD00,,
DPCHZ09,DPCHZ09,INTEGER_PLUS,INTEGER plus,16,False,DPCHZ09,,
SRE303,SRE303,ZIVIS_PLUS,ZIVIS plus,16,False,SRE303,,
WPSKBEAR00,WPSKBEAR00,SUPRA_VPLUS,SUPRA Vplus,16,False,WPSKBEAR00,,
EVPAL03,EVPAL03,ECOLITE_3000,ECOLITE 3000,16,True,EVPAL03,,models=ECOLITE 3000|ECOLITE3000|TERA 21 RC|TERA21 RC
BDES013,BDES013,ECOLITE_3000,ECOLITE 3000,16,True,BDES013,,models=ECOLITE 3000|ECOLITE3000
WPSKL63200,WPSKL63200,SUPRA_VPLUS,SUPRA Vplus,15,False,WPSKL63200,,
AEASH03,AEASH03,SUPRA_NM,SUPRA Nm,15,True,AEASH03,,models=SUPRA Nm|SUPRA Vm
EPAS16,EPAS16,SUPRA_VM,SUPRA Vm,15,False,EPAS16,inferred_from_prefix,
EPAT03,EPAT03,SUPRA_VM,SUPRA Vm,15,False,EPAT03,inferred_from_prefix,
APT865,APT865,SUPRA_XP,SUPRA XP,15,False,APT865,,
SPN409,SPN409,SUPRA_VPLUS,SUPRA Vplus,15,False,SPN409,,
CUSTRIP-15,CUSTRIP-15,FUTAS,FUTAS,15,True,CUSTRIP-15|CUSTRIP15,,models=FUTAS|SUPRA Vm
BPSKE001,BPSKE001,ECOLITE_II,ECOLITE II,15,True,BPSKE001,,models=ECOLITE II|ECOLITE II 300|ECOLITE Ⅱ
WRF002,WRF002,GENEVA_STP300,GENEVA STP300,15,True,WRF002,,models=GENEVA STP300|GENEVA STP300 xp|GENEVA xp
WRF001,WRF001,GENEVA_STP300,GENEVA STP300,15,True,WRF001,,models=GENEVA STP300|GENEVA STP300 xp|GENEVA xp
850-01,850-01,GENEVA_STP300,GENEVA STP300,15,True,850-01|85001,,models=GENEVA STP300|GENEVA STP300 xp|GENEVA xp
RFL-GEN-01,RFL-GEN-01,GENEVA_STP300,GENEVA STP300,15,True,RFL-GEN-01|RFLGEN01,,models=GENEVA STP300|GENEVA STP300 xp|GENEVA xp
SPN702,SPN702,SUPRA_VPLUS,SUPRA Vplus,14,False,SPN702,,
WPSKAF3N00,WPSKAF3N00,OMNIS,OMNIS,14,False,WPSKAF3N00,,
WPSK657300,WPSK657300,SUPRA_VPLUS,SUPRA Vplus,14,False,WPSK657300,,
ASH214A,ASH214A,SUPRA_VI,SUPRA Vi,14,True,ASH214A,,models=SUPRA Vi|SUPRA Vm|SUPRA Vplus|SUPRA Ⅴ
EPAB734,EPAB734,PRECIA,PRECIA,14,False,EPAB734,inferred_from_prefix,
WPSKAD4500,WPSKAD4500,OMNIS,OMNIS,14,False,WPSKAD4500,,
CUSTRIP-03,CUSTRIP-03,SUPRA_VM,SUPRA Vm,14,True,CUSTRIP-03|CUSTRIP03,,models=SUPRA Vm|TERA 21|TERA21|TERA21i
WSNF102,WSNF102,ZIVIS_PLUS,ZIVIS plus,14,False,WSNF102,,
WPSKL31200,WPSKL31200,SUPRA_VPLUS,SUPRA Vplus,14,False,WPSKL31200,,
SFP412,SFP412,SUPRA_VPLUS,SUPRA Vplus,14,False,SFP412,,
EPAB733,EPAB733,PRECIA,PRECIA,14,False,EPAB733,inferred_from_prefix,
DSP004,DSP004,ECOLITE_3000,ECOLITE 3000,14,True,DSP004,,models=ECOLITE 3000|ECOLITE3000
FZPA01,FZPA01,ECOLITE_3000,ECOLITE3000,14,True,FZPA01,,models=ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
FRP202,FRP202,GENEVA_STP300_XP,GENEVA STP300 xp,14,False,FRP202,,
URFL94,URFL94,GENEVA_STP300_XP,GENEVA STP300 xp,14,False,URFL94,,
WSNF101,WSNF101,INTEGER_PLUS,INTEGER plus,13,True,WSNF101,,models=INTEGER plus|ZIVIS plus
EPAS01,EPAS01,SUPRA_VM,SUPRA Vm,13,False,EPAS01,inferred_from_prefix,
SPN410,SPN410,SUPRA_VPLUS,SUPRA Vplus,13,False,SPN410,,
ASH213A,ASH213A,SUPRA_VI,SUPRA Vi,13,True,ASH213A,,models=SUPRA Vi|SUPRA Vplus
W701,W701,ECOLITE_II,ECOLITE II,13,True,W701,,models=ECOLITE II|ECOLITE II 400|ECOLITE Ⅱ|EVOLITE II
EVPAL01,EVPAL01,ECOLITE_3000,ECOLITE3000,13,True,EVPAL01,,models=ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
ARP01,ARP01,ECOLITE_II,ECOLITE II,13,True,ARP01,,models=ECOLITE II|ECOLITE II 400
AWP01,AWP01,ECOLITE_II,ECOLITE II,13,True,AWP01,,models=ECOLITE II|ECOLITE II 300|ECOLITE II 400|ECOLITE Ⅱ
790-01,790-01,ECOLITE_3000,ECOLITE 3000,13,True,790-01|79001,,models=ECOLITE 3000|ECOLITE3000|GENEVA STP300 xp
DES3001,DES3001,ECOLITE_3000,ECOLITE 3000,13,True,DES3001,,models=ECOLITE 3000|ECOLITE3000
WPSK414100,WPSK414100,SUPRA_XP,SUPRA XP,12,False,WPSK414100,,
EPR601,EPR601,SUPRA_N,SUPRA N,12,True,EPR601,inferred_from_prefix,models=SUPRA N|SUPRA Vplus
STRIP-26,STRIP-26,SUPRA_V,SUPRA V,12,True,STRIP-26|STRIP26,,models=SUPRA V|SUPRA Vm|SUPRA Vplus|TERA21
EPRE01,EPRE01,SUPRA_V,SUPRA V,12,True,EPRE01,inferred_from_prefix,models=SUPRA V|SUPRA Ⅴ
SFP704,SFP704,SUPRA_VPLUS,SUPRA Vplus,12,False,SFP704,,
ASH211A,ASH211A,SUPRA_V,SUPRA V,12,True,ASH211A,,models=SUPRA V|SUPRA Vi|SUPRA XP|SUPRA Ⅴ
EPAP301,EPAP301,SUPRA_N,SUPRA N,12,False,EPAP301,inferred_from_prefix,
NISTRIP-02,NISTRIP-02,TERA_21,TERA 21,12,True,NISTRIP-02|NISTRIP02,,models=TERA 21|TERA21
ELPS-A01,ELPS-A01,ZIVIS_PLUS,ZIVIS plus,12,False,ELPS-A01|ELPSA01,,
WPSKK3L700,WPSKK3L700,SUPRA_VPLUS,SUPRA Vplus,12,True,WPSKK3L700,,models=SUPRA Vplus|TIGMA Vplus
EPRG01,EPRG01,SUPRA_VPLUS,SUPRA Vplus,12,True,EPRG01,inferred_from_prefix,models=SUPRA Vplus|TERA21
EPA404,EPA404,ZEDIUS,ZEDIUS,12,False,EPA404,inferred_from_prefix,
DES01,DES01,ECOLITE_II_300,ECOLITE II 300,12,True,DES01,,models=ECOLITE II 300|ECOLITE III|ECOLITE3000|Ecolite2000|TERA 21 RC
M07EAH01,M07EAH01,ECOLITE_3000,ECOLITE 3000,12,True,M07EAH01,,models=ECOLITE 3000|ECOLITE3000
ADESC02,ADESC02,ECOLITE_3000,ECOLITE3000,12,False,ADESC02,,
FDES02,FDES02,ECOLITE_II,ECOLITE II,12,True,FDES02,,models=ECOLITE II|ECOLITE II 400
BPT101,BPT101,ECOLITE_II,ECOLITE II,12,True,BPT101,,models=ECOLITE II|ECOLITE II 300|ECOLITE II 400|ECOLITE Ⅱ
790-05,790-05,ECOLITE_3000,ECOLITE 3000,12,True,790-05|79005,,models=ECOLITE 3000|ECOLITE3000
WPSK7A1Q00,WPSK7A1Q00,SUPRA_VPLUS,SUPRA Vplus,12,False,WPSK7A1Q00,,
DES003,DES003,ECOLITE_3000,ECOLITE 3000,12,False,DES003,,
UDES93,UDES93,ECOLITE_3000,ECOLITE 3000,12,False,UDES93,,
REF001,REF001,GENEVA_STP300,GENEVA STP300,12,False,REF001,,
WPSKK5GS00,WPSKK5GS00,SUPRA_XP,SUPRA XP,11,False,WPSKK5GS00,,
WPSK412800,WPSK412800,SUPRA_VPLUS,SUPRA Vplus,11,False,WPSK412800,,
WPSKLLX100,WPSKLLX100,SUPRA_XP,SUPRA XP,11,False,WPSKLLX100,,
DPCJF03,DPCJF03,ETC.,Etc.,11,True,DPCJF03,,models=Etc.|INTEGER plus
EPR401,EPR401,SUPRA_N,SUPRA N,11,True,EPR401,inferred_from_prefix,models=SUPRA N|TERA21
SFP511,SFP511,SUPRA_VPLUS,SUPRA Vplus,11,False,SFP511,,
DPC402,DPC402,INTEGER_PLUS,INTEGER plus,11,False,DPC402,,
EPRF01,EPRF01,SUPRA_III,SUPRA III,11,True,EPRF01,inferred_from_prefix,models=SUPRA III|SUPRA V|SUPRA Ⅴ
EPAS19,EPAS19,SUPRA_VM,SUPRA Vm,11,False,EPAS19,inferred_from_prefix,
WPSKL12500,WPSKL12500,SUPRA_VPLUS,SUPRA Vplus,11,False,WPSKL12500,,
SXP591,SXP591,SUPRA_XP,SUPRA XP,11,False,SXP591,,
STRIP-02,STRIP-02,SUPRA_VM,SUPRA Vm,11,True,STRIP-02|STRIP02,,models=SUPRA Vm|TERA 21|TERA21
SFP401,SFP401,SUPRA_VPLUS,SUPRA Vplus,11,False,SFP401,,
WPSKL61700,WPSKL61700,SUPRA_VPLUS,SUPRA Vplus,11,False,WPSKL61700,,
790-11,790-11,ECOLITE_3000,ECOLITE 3000,11,True,790-11|79011,,models=ECOLITE 3000|ECOLITE3000
EVYAL02,EVYAL02,ECOLITE_II,ECOLITE II,11,True,EVYAL02,,models=ECOLITE II|ECOLITE II 400
EVPAL02,EVPAL02,ECOLITE_3000,ECOLITE3000,11,True,EVPAL02,,models=ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
790-02,790-02,ECOLITE_3000,ECOLITE 3000,11,True,790-02|79002,,models=ECOLITE 3000|ECOLITE3000|Ecolite2000|Ecolite3000
FDES01,FDES01,ECOLITE_3000,ECOLITE 3000,11,True,FDES01,,models=ECOLITE 3000|ECOLITE II|ECOLITE II 300|EVOLITE II
NWRL08,NWRL08,GENEVA_STP300_XP,GENEVA STP300 xp,11,False,NWRL08,,
URFL13,URFL13,GENEVA_STP300_XP,GENEVA STP300 xp,11,True,URFL13,,models=GENEVA STP300 xp|GENEVA xp
NWRL07,NWRL07,GENEVA_STP300_XP,GENEVA STP300 xp,11,False,NWRL07,,
URFL18,URFL18,GENEVA_STP300_XP,GENEVA STP300 xp,11,True,URFL18,,models=GENEVA STP300 xp|GENEVA xp
EVPAL11,EVPAL11,ECOLITE_II,ECOLITE II,11,True,EVPAL11,,models=ECOLITE II|ECOLITE II PF WF|ECOLITE Ⅱ
BFUR008,BFUR008,GENEVA_STP300_XP,GENEVA STP300 xp,11,True,BFUR008,,models=GENEVA STP300 xp|GENEVA xp
SREFW5,SREFW5,GENEVA_STP300_XP,GENEVA STP300 xp,11,True,SREFW5,,models=GENEVA STP300 xp|GENEVA xp
SFP710,SFP710,SUPRA_VPLUS,SUPRA Vplus,10,False,SFP710,,
SFP707,SFP707,SUPRA_VPLUS,SUPRA Vplus,10,False,SFP707,,
WNFHEC04,WNFHEC04,INTEGER_PLUS,INTEGER plus,10,True,WNFHEC04,,models=INTEGER plus|ZIVIS plus
SFP413,SFP413,SUPRA_VPLUS,SUPRA Vplus,10,False,SFP413,,
DPCG02,DPCG02,INTEGER_PLUS,INTEGER plus,10,False,DPCG02,,
ECPAC02,ECPAC02,SUPRA_NM,SUPRA Nm,10,True,ECPAC02,,models=SUPRA Nm|TERA 21 RC|TERA21|TERA21 RC|TERA21-RC
EVPAL08,EVPAL08,ECOLITE_3000,ECOLITE 3000,10,True,EVPAL08,,models=ECOLITE 3000|ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
DES03,DES03,ECOLITE_3000,ECOLITE 3000,10,True,DES03,,models=ECOLITE 3000|ECOLITE II|ECOLITE II 300|ECOLITE XPL|ECOLITE Ⅱ|ECOLITE3000
SDSC01,SDSC01,ECOLITE_3000,ECOLITE 3000,10,True,SDSC01,,models=ECOLITE 3000|TERA 21 RC|TERA21 RC|TERA21-RC
CPP482,CPP482,ECOLITE_II_300,ECOLITE II 300,10,True,CPP482,,models=ECOLITE II 300|ECOLITE Ⅱ|TERA21 RC
DPSKLF0200,DPSKLF0200,ECOLITE_3000,ECOLITE 3000,10,True,DPSKLF0200,,models=ECOLITE 3000|ECOLITE3000|GENEVA STP300 xp|GENEVA xp
WDE004,WDE004,ECOLITE_3000,ECOLITE 3000,10,True,WDE004,,models=ECOLITE 3000|ECOLITE3000
790-06,790-06,ECOLITE_3000,ECOLITE 3000,10,True,790-06|79006,,models=ECOLITE 3000|ECOLITE3000
DES202,DES202,ECOLITE_XPL,ECOLITE XPL,10,False,DES202,,
WLR 201,WLR 201,GENEVA_STP300_XP,GENEVA STP300 xp,10,False,WLR 201|WLR201,,
DSP204,DSP204,ECOLITE_3000,ECOLITE 3000,10,False,DSP204,,
LWRL20,LWRL20,GENEVA_STP300_XP,GENEVA STP300 xp,10,True,LWRL20,,models=GENEVA STP300 xp|GENEVA xp
WRF201,WRF201,GENEVA_STP300,GENEVA STP300,10,True,WRF201,,models=GENEVA STP300|GENEVA STP300 mini x|GENEVA STP300 x|GENEVA x
W602,W602,ECOLITE_II,ECOLITE II,10,True,W602,,models=ECOLITE II|ECOLITE Ⅱ
DSP005,DSP005,ECOLITE_3000,ECOLITE 3000,10,True,DSP005,,models=ECOLITE 3000|ECOLITE3000
WPSKL45500,WPSKL45500,SUPRA_VPLUS,SUPRA Vplus,9,False,WPSKL45500,,
NISTRIP-03,NISTRIP-03,TERA_21,TERA 21,9,True,NISTRIP-03|NISTRIP03,,models=TERA 21|TERA21
EBPM2,EBPM2,SUPRA_V,SUPRA V,9,True,EBPM2,,models=SUPRA V|TERA 21|TERA21
EAP53,EAP53,SUPRA_VPLUS,SUPRA Vplus,9,True,EAP53,,models=SUPRA Vplus|TERA 21|TERA21
WDBV112,WDBV112,PRECIA,PRECIA,9,False,WDBV112,,
WPSKL31100,WPSKL31100,SUPRA_VPLUS,SUPRA Vplus,9,False,WPSKL31100,,
SFP711,SFP711,SUPRA_VPLUS,SUPRA Vplus,9,False,SFP711,,
SPN404,SPN404,SUPRA_VPLUS,SUPRA Vplus,9,False,SPN404,,
EBPM3,EBPM3,TERA_21,TERA 21,9,True,EBPM3,,models=TERA 21|TERA21
WPSKL61300,WPSKL61300,SUPRA_VPLUS,SUPRA Vplus,9,False,WPSKL61300,,
SFP717,SFP717,SUPRA_VPLUS,SUPRA Vplus,9,False,SFP717,,
SPN403,SPN403,SUPRA_VPLUS,SUPRA Vplus,9,False,SPN403,,
APT403,APT403,SUPRA_XP,SUPRA XP,9,False,APT403,,
APT404,APT404,SUPRA_XP,SUPRA XP,9,False,APT404,,
DPCG53,DPCG53,INTEGER_IVR,INTEGER IVr,9,True,DPCG53,,models=INTEGER IVr|INTEGER Ivr
EPAM18,EPAM18,SUPRA_N,SUPRA N,9,False,EPAM18,inferred_from_prefix,
WEPR4408,WEPR4408,SUPRA_N,SUPRA N,9,True,WEPR4408,,models=SUPRA N|TERA21
EPAS02,EPAS02,SUPRA_VM,SUPRA Vm,9,False,EPAS02,inferred_from_prefix,
EPR081,EPR081,SUPRA_N,SUPRA N,9,False,EPR081,inferred_from_prefix,
ASH215A,ASH215A,SUPRA_V,SUPRA V,9,True,ASH215A,,models=SUPRA V|SUPRA Vi|SUPRA Vplus
WEPR4401,WEPR4401,SUPRA_N,SUPRA N,9,False,WEPR4401,,
DPCP801,DPCP801,INTEGER_PLUS,INTEGER plus,9,False,DPCP801,,
SFP702,SFP702,SUPRA_VPLUS,SUPRA Vplus,9,False,SFP702,,
WPSKL61800,WPSKL61800,SUPRA_VPLUS,SUPRA Vplus,9,False,WPSKL61800,,
STRIP-04,STRIP-04,SUPRA_VM,SUPRA Vm,9,True,STRIP-04|STRIP04,,models=SUPRA Vm|TERA21
SPD201,SPD201,ECOLITE_3000,ECOLITE 3000,9,True,SPD201,,models=ECOLITE 3000|ECOLITE II T|ECOLITE3000|TERA21 RC|TERA21-RC
WDE001,WDE001,ECOLITE_3000,ECOLITE 3000,9,True,WDE001,,models=ECOLITE 3000|ECOLITE3000|TERA21 RC
FZPA04,FZPA04,ECOLITE_3000,ECOLITE 3000,9,True,FZPA04,,models=ECOLITE 3000|ECOLITE3000|TERA 21 RC|TERA21 RC|TERA21-RC
MCOXCDE-B01,MCOXCDE-B01,ZIVIS_PLUS,ZIVIS plus,9,False,MCOXCDE-B01|MCOXCDEB01,,
STRIPB-B01,STRIPB-B01,SUPRA_VM,SUPRA Vm,9,False,STRIPB-B01|STRIPBB01,,
DES31,DES31,ECOLITE_III,ECOLITE III,9,False,DES31,,
ASHC103,ASHC103,SUPRA_VI,SUPRA Vi,9,False,ASHC103,,
LWRL35,LWRL35,GENEVA_STP300_XP,GENEVA STP300 xp,9,False,LWRL35,,
SFLU01,SFLU01,GENEVA_STP300_X,GENEVA STP300 x,9,True,SFLU01,,models=GENEVA STP300 x|GENEVA x
KTK37503,KTK37503,ECOLITE_3000,ECOLITE 3000,9,False,KTK37503,,
CRE305,CRE305,GENEVA_STP300,GENEVA STP300,9,True,CRE305,,models=GENEVA STP300|GENEVA x
DPCG04,DPCG04,ETC.,Etc.,8,True,DPCG04,,models=Etc.|INTEGER IV|INTEGER IVr|INTEGER Ivr
5ESP2602,5ESP2602,SUPRA_N,SUPRA N,8,False,5ESP2602,,
EPAS21,EPAS21,SUPRA_VM,SUPRA Vm,8,False,EPAS21,inferred_from_prefix,
EPAT01,EPAT01,SUPRA_V,SUPRA V,8,True,EPAT01,inferred_from_prefix,models=SUPRA V|SUPRA Vm
WPSKL42100,WPSKL42100,SUPRA_VPLUS,SUPRA Vplus,8,False,WPSKL42100,,
EBPM1,EBPM1,TERA_21,TERA 21,8,True,EBPM1,,models=TERA 21|TERA21
EPAS20,EPAS20,SUPRA_VM,SUPRA Vm,8,False,EPAS20,inferred_from_prefix,
ASH208A,ASH208A,SUPRA_V,SUPRA V,8,True,ASH208A,,models=SUPRA V|SUPRA Vi|SUPRA Vm|SUPRA Ⅴ
APT702,APT702,SUPRA_XP,SUPRA XP,8,False,APT702,,
EPRS751,EPRS751,TERA_21,TERA 21,8,True,EPRS751,inferred_from_prefix,models=TERA 21|TERA21
SPN411,SPN411,SUPRA_VPLUS,SUPRA Vplus,8,False,SPN411,,
WPSKLLX200,WPSKLLX200,SUPRA_XP,SUPRA XP,8,False,WPSKLLX200,,
IPC3701,IPC3701,INTEGER_PLUS,INTEGER plus,8,False,IPC3701,,
EPR701,EPR701,SUPRA_N,SUPRA N,8,True,EPR701,inferred_from_prefix,models=SUPRA N|TERA21
EPAS23,EPAS23,SUPRA_VM,SUPRA Vm,8,False,EPAS23,inferred_from_prefix,
ASH210A,ASH210A,SUPRA_IV,SUPRA IV,8,True,ASH210A,,models=SUPRA IV|SUPRA V|SUPRA Ⅴ
5ESP0201,5ESP0201,SUPRA_N,SUPRA N,8,False,5ESP0201,,
ECASHA35,ECASHA35,SUPRA_V,SUPRA V,8,True,ECASHA35,,models=SUPRA V|SUPRA Vplus
WASB101,WASB101,SUPRA_N,SUPRA N,8,False,WASB101,,
EPAS18,EPAS18,SUPRA_VM,SUPRA Vm,8,False,EPAS18,inferred_from_prefix,
STRIP-31,STRIP-31,SUPRA_VM,SUPRA Vm,8,True,STRIP-31|STRIP31,,models=SUPRA Vm|SUPRA Vplus
WPSKLL3600,WPSKLL3600,SUPRA_VPLUS,SUPRA Vplus,8,False,WPSKLL3600,,
