doc_id,device_name_raw,device_name_norm,doc_type_raw,doc_type_norm,topic,chunk_count,scope_level_gold,is_shared_gold,shared_scope_type_gold
global_sop_integer_plus_all_pm_cooling_chuck,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_cooling_chuck,23,device,False,none
global_sop_precia_all_pm_mfc,PRECIA,PRECIA,SOP,sop,pm_mfc,23,device,True,multi_device
global_sop_supra_n_series_all_sub_unit_gas_box_board,SUPRA N series,SUPRA_N,SOP,sop,sub_unit_gas_box_board,23,device,True,multi_device
global_sop_supra_xp_all_rack_rf_generator,ZEDIUS XP,SUPRA_XP,SOP,sop,rack_rf_generator,23,device,False,none
global_sop_precia_all_pm_wafer_centering,PRECIA,PRECIA,SOP,sop,pm_wafer_centering,23,device,False,none
global_sop_integer_plus_all_pm_gas_line,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_gas_line,77,device,False,none
global_sop_precia_all_pm_baratron_gauge,PRECIA,PRECIA,SOP,sop,pm_baratron_gauge,55,device,True,multi_device
global_sop_supra_xp_all_tm_robot,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_robot,47,device,True,multi_device
global_sop_supra_n_series_all_pm_pcw_valve_switch,SUPRA N series,SUPRA_N,SOP,sop,pm_pcw_valve_switch,47,device,False,none
global_sop_supra_n_series_all_pm_pressure_gauge,SUPRA N series,SUPRA_N,SOP,sop,pm_pressure_gauge,46,device,True,multi_device
global_sop_precia_all_efem_ffu,PRECIA,PRECIA,SOP,sop,efem_ffu,50,device,True,global
global_sop_supra_xp_all_efem_controller,ZEDIUS XP,SUPRA_XP,SOP,sop,efem_controller,46,device,True,multi_device
global_sop_supra_xp_all_tm_ctc,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_ctc,45,device,True,multi_device
global_sop_supra_n_series_all_pm_pek_kit,SUPRA N series,SUPRA_N,SOP,sop,pm_pek_kit,43,device,False,none
global_sop_supra_vplus_all_pm_controller,SUPRA Vplus,SUPRA_VPLUS,SOP,sop,pm_controller,42,device,True,multi_device
global_sop_supra_xp_all_pm_dual_epd,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_dual_epd,40,device,True,multi_device
global_sop_integer_plus_all_pm_slot_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_slot_valve,39,device,True,multi_device
global_sop_integer_plus_all_ll_slot_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_slot_valve,50,device,False,none
global_sop_supra_xp_all_pm_pirani_gauge,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_pirani_gauge,40,device,True,multi_device
global_sop_precia_all_tm_slot_valve,PRECIA,PRECIA,SOP,sop,tm_slot_valve,39,device,True,multi_device
global_sop_integer_plus_all_pm_swap_kit,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_swap_kit,37,device,False,none
global_sop_precia_all_pm_pirani_gauge,PRECIA,PRECIA,SOP,sop,pm_pirani_gauge,36,device,True,multi_device
global_sop_supra_xp_all_pm_cip_chamber,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_cip_chamber,37,device,False,none
global_sop_integer_plus_all_am_heater_chuck,INTEGER plus,INTEGER_PLUS,SOP,sop,am_heater_chuck,25,device,False,none
global_sop_integer_plus_all_efem_eda_controller,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_eda_controller,22,device,False,none
global_sop_precia_all_ll_pirani,PRECIA,PRECIA,SOP,sop,ll_pirani,21,device,False,none
global_sop_precia_all_efem_switch,PRECIA,PRECIA,SOP,sop,efem_switch,21,device,False,none
global_sop_integer_plus_all_pm_flange_adaptor,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_flange_adaptor,21,device,False,none
global_sop_integer_plus_all_tm_mototr_controller,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_mototr_controller,21,device,False,none
global_sop_supra_nm_all_pm_microwave_local_interface,SUPRA Nm,SUPRA_NM,SOP,sop,pm_microwave_local_interface,21,device,False,none
global_sop_precia_all_efem_regulator,PRECIA,PRECIA,SOP,sop,efem_regulator,20,device,False,none
global_sop_integer_plus_all_ll_vacuum_block,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_vacuum_block,20,device,False,none
global_sop_integer_plus_all_am_flange_adaptor,INTEGER plus,INTEGER_PLUS,SOP,sop,am_flange_adaptor,20,device,False,none
global_sop_integer_plus_all_pm_pneumatic_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_pneumatic_valve,20,device,True,multi_device
global_sop_integer_plus_all_am_view_quartz,INTEGER plus,INTEGER_PLUS,SOP,sop,am_view_quartz,20,device,False,none
global_sop_integer_plus_all_tm_filter,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_filter,20,device,False,none
global_sop_supra_n_series_all_pm_chamber_hinge,SUPRA N series,SUPRA_N,SOP,sop,pm_chamber_hinge,22,device,False,none
global_sop_supra_xp_all_tm_slot_valve,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_slot_valve,20,device,True,multi_device
global_sop_precia_all_pm_manometer,PRECIA,PRECIA,SOP,sop,pm_manometer,20,device,True,multi_device
global_sop_precia_all_ll_angle_valve,PRECIA,PRECIA,SOP,sop,ll_angle_valve,20,device,False,none
global_sop_precia_all_tm_isolation_valve,PRECIA,PRECIA,SOP,sop,tm_isolation_valve,20,device,False,none
global_sop_precia_all_pm_solenoid_valve,PRECIA,PRECIA,SOP,sop,pm_solenoid_valve,20,device,True,multi_device
global_sop_integer_plus_all_am_gas_spring,INTEGER plus,INTEGER_PLUS,SOP,sop,am_gas_spring,19,device,False,none
global_sop_integer_plus_all_am_solenoid_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,am_solenoid_valve,19,device,False,none
global_sop_supra_vplus_adj_all_undocking,SUPRA Vplus,SUPRA_VPLUS,SOP,sop,all_undocking,19,device,True,multi_device
global_sop_supra_vplus_adj_all_power_turn_on_off,SUPRA Vplus,SUPRA_VPLUS,SOP,sop,all_power_turn_on_off,19,device,True,multi_device
global_sop_supra_xp_all_pm_wafer_shut_off_valve,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_wafer_shut_off_valve,19,device,False,none
global_sop_supra_xp_all_ll_pin,ZEDIUS XP,SUPRA_XP,SOP,sop,ll_pin,19,device,False,none
global_sop_precia_all_tm_interface_board,PRECIA,PRECIA,SOP,sop,tm_interface_board,19,device,False,none
global_sop_supra_xp_all_pm_n2_curtain_eng,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_n2_curtain_eng,19,device,False,none
global_sop_precia_all_efem_fluorescent_lamp,PRECIA,PRECIA,SOP,sop,efem_fluorescent_lamp,19,device,True,multi_device
global_sop_precia_all_ll_turn_table,PRECIA,PRECIA,SOP,sop,ll_turn_table,19,device,False,none
global_sop_precia_all_efem_load_port_leveling,PRECIA,PRECIA,SOP,sop,efem_load_port_leveling,19,device,False,none
global_sop_integer_plus_all_pm_water_shut_off_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_water_shut_off_valve,19,device,False,none
global_sop_precia_all_efem_interface_board,PRECIA,PRECIA,SOP,sop,efem_interface_board,19,device,False,none
global_sop_integer_plus_all_tm_purge_line_regulator,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_purge_line_regulator,19,device,False,none
global_sop_integer_plus_all_tm_solenoid_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_solenoid_valve,19,device,True,multi_device
global_sop_integer_plus_all_pm_coded_sensor,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_coded_sensor,19,device,False,none
global_sop_integer_plus_all_pm_gas_spring,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_gas_spring,19,device,True,multi_device
global_sop_integer_plus_all_pm_safety_controller,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_safety_controller,19,device,False,none
global_sop_integer_plus_all_tm_coded_sensor,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_coded_sensor,19,device,False,none
global_sop_integer_plus_all_pm_pcw_manual_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_pcw_manual_valve,19,device,False,none
global_sop_integer_plus_all_pm_flow_switch,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_flow_switch,19,device,True,multi_device
global_sop_integer_plus_all_pm_view_quartz,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_view_quartz,19,device,False,none
global_sop_precia_adj_all_undocking,PRECIA,PRECIA,SOP,sop,all_undocking,18,device,True,multi_device
global_sop_precia_all_efem_serial_8port,PRECIA,PRECIA,SOP,sop,efem_serial_8port,18,device,False,none
global_sop_integer_plus_all_pm_gas_box_door_sensor,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_gas_box_door_sensor,18,device,False,none
global_sop_integer_plus_all_ll_diffuser,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_diffuser,18,device,False,none
global_sop_precia_all_pm_gas_spring,PRECIA,PRECIA,SOP,sop,pm_gas_spring,18,device,True,multi_device
global_sop_precia_all_ll_relief_valve,PRECIA,PRECIA,SOP,sop,ll_relief_valve,18,device,False,none
global_sop_precia_all_efem_sensor_board,PRECIA,PRECIA,SOP,sop,efem_sensor_board,17,device,False,none
global_sop_precia_all_efem_pressure_relief_valve,PRECIA,PRECIA,SOP,sop,efem_pressure_relief_valve,17,device,False,none
global_sop_supra_xp_all_sub_unit_gas_box_board,ZEDIUS XP,SUPRA_XP,SOP,sop,sub_unit_gas_box_board,18,device,True,multi_device
global_sop_precia_all_efem_device_net_board,PRECIA,PRECIA,SOP,sop,efem_device_net_board,17,device,True,multi_device
global_sop_integer_plus_all_ll_speed_controller_indicator,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_speed_controller_indicator,17,device,False,none
global_sop_supra_xp_all_pm_chamber_safety_cover,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_chamber_safety_cover,18,device,False,none
global_sop_integer_plus_all_efem_device_net_board,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_device_net_board,16,device,True,multi_device
global_sop_supra_vplus_adj_all_io_check,SUPRA Vplus,SUPRA_VPLUS,SOP,sop,all_io_check,15,device,False,none
global_sop_supra_n_series_all_tm_solenoid_valve,SUPRA N series,SUPRA_N,SOP,sop,tm_solenoid_valve,18,device,True,multi_device
global_sop_supra_xp_all_tm_mfc,ZEDIUS XP,SUPRA_XP,SOP,sop,tm_mfc,18,device,False,none
global_sop_integer_plus_all_am_interface_board,INTEGER plus,INTEGER_PLUS,SOP,sop,am_interface_board,18,device,False,none
global_sop_integer_plus_all_efem_push_button_switch,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_push_button_switch,18,device,False,none
global_sop_integer_plus_all_ll_disarray_sensor,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_disarray_sensor,18,device,False,none
global_sop_supra_n_series_all_rack,SUPRA N series,SUPRA_N,SOP,sop,rack,84,device,False,none
global_sop_supra_xp_sw_all_sw_installation_setting,ZEDIUS XP,SUPRA_XP,SOP,sop,all_sw_installation_setting,74,device,True,multi_device
global_sop_integer_plus_all_am_gas_line,INTEGER plus,INTEGER_PLUS,SOP,sop,am_gas_line,67,device,False,none
global_sop_supra_n_series_all_efem_ffu,SUPRA N series,SUPRA_N,SOP,sop,efem_ffu,59,device,True,global
global_sop_supra_n_series_all_sub_unit_temp_controller,SUPRA N series,SUPRA_N,SOP,sop,sub_unit_temp_controller,56,device,False,none
global_sop_precia_all_pm_rf_bias_matcher,PRECIA,PRECIA,SOP,sop,pm_rf_bias_matcher,55,device,False,none
global_sop_supra_xp_all_pm_pin_assy,ZEDIUS XP,SUPRA_XP,SOP,sop,pm_pin_assy,124,device,False,none
global_sop_precia_all_tm_solenoid_valve,PRECIA,PRECIA,SOP,sop,tm_solenoid_valve,17,device,True,multi_device
global_sop_integer_plus_all_pm_baffle_heater,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_baffle_heater,22,device,False,none
global_sop_integer_plus_all_tm_epc,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_epc,21,device,True,multi_device
global_sop_omnis_plus_all_pm_apc_product_report,OMNIS,OMNIS,SOP,sop,pm_apc_product_report,8,device,False,none
global_sop_supra_xp_all_ll_cip,SUPRA XP,SUPRA_XP,SOP,sop,ll_cip,51,device,False,none
global_sop_supra_n_series_all_pm_device_net_board,SUPRA N series,SUPRA_N,SOP,sop,pm_device_net_board,45,device,True,multi_device
global_sop_precia_adj_all_utility_turn_onoff,PRECIA,PRECIA,SOP,sop,all_utility_turn_onoff,44,device,False,none
global_sop_supra_n_series_all_pm_heater_chuck,SUPRA N series,SUPRA_N,SOP,sop,pm_heater_chuck,40,device,True,multi_device
global_sop_supra_n_series_all_sub_unit_scr_noise_filter,SUPRA N series,SUPRA_N,SOP,sop,sub_unit_scr_noise_filter,40,device,False,none
global_sop_integer_plus_all_pm_vacuum_line,INTEGER XP,INTEGER_XP,SOP,sop,pm_vacuum_line,133,device,False,none
set_up_manual_integer_plus,INTEGER plus,INTEGER_PLUS,SOP,sop,set_up_manual_integer_plus,167,device,False,none
global_sop_supra_n_series_all_pm_door_valve,SUPRA N,SUPRA_N,SOP,sop,pm_door_valve,55,device,False,none
global_sop_supra_n_series_all_sub_unit_solenoide_valve,SUPRA N,SUPRA_N,SOP,sop,sub_unit_solenoide_valve,17,device,False,none
global_sop_supra_n_series_all_tm_pressure_relief_valve,SUPRA N,SUPRA_N,SOP,sop,tm_pressure_relief_valve,19,device,True,multi_device
global_sop_supra_n_series_all_efem_controller,SUPRA N,SUPRA_N,SOP,sop,efem_controller,40,device,True,multi_device
global_sop_supra_n_series_all_efem_load_port_duraport,SUPRA N,SUPRA_N,SOP,sop,efem_load_port_duraport,93,device,False,none
global_sop_supra_n_series_all_pm_tc_wafer,SUPRA N,SUPRA_N,SOP,sop,pm_tc_wafer,21,device,False,none
global_sop_supra_n_series_all_sub_unit_water_shut_off_valve,SUPRA N,SUPRA_N,SOP,sop,sub_unit_water_shut_off_valve,16,device,False,none
global_sop_supra_n_series_all_tm_robot,SUPRA N,SUPRA_N,SOP,sop,tm_robot,107,device,True,multi_device
global_sop_supra_n_series_all_pm_hook_lifter_servo_motor,SUPRA N,SUPRA_N,SOP,sop,pm_hook_lifter_servo_motor,106,device,False,none
global_sop_precia_all_ll_aligner,PRECIA,PRECIA,SOP,sop,ll_aligner,35,device,False,none
global_sop_precia_all_tm_epc,PRECIA,PRECIA,SOP,sop,tm_epc,21,device,True,multi_device
global_sop_precia_all_tm_pneumatic_valve,PRECIA,PRECIA,SOP,sop,tm_pneumatic_valve,19,device,False,none
global_sop_precia_all_tm_robot,PRECIA,PRECIA,SOP,sop,tm_robot,56,device,True,multi_device
global_sop_precia_all_pm_device_net_board,PRECIA,PRECIA,SOP,sop,pm_device_net_board,37,device,True,multi_device
global_sop_precia_all_efem_door_valve,PRECIA,PRECIA,SOP,sop,efem_door_valve,18,device,False,none
global_sop_precia_all_ll_vision,PRECIA,PRECIA,SOP,sop,ll_vision,82,device,False,none
global_sop_precia_all_pm_gap_sensor,PRECIA,PRECIA,SOP,sop,pm_gap_sensor,79,device,False,none
global_sop_precia_all_efem_robot,PRECIA,PRECIA,SOP,sop,efem_robot,64,device,True,multi_device
global_sop_precia_all_tm_pirani,PRECIA,PRECIA,SOP,sop,tm_pirani,21,device,False,none
global_sop_precia_all_tm_pressure_relief_valve,PRECIA,PRECIA,SOP,sop,tm_pressure_relief_valve,16,device,True,multi_device
global_sop_precia_all_efem_signal_tower,PRECIA,PRECIA,SOP,sop,efem_signal_tower,18,device,True,multi_device
global_sop_integer_plus_all_ll_cassette,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_cassette,86,device,False,none
global_sop_integer_plus_all_am_pin_motor,INTEGER plus,INTEGER_PLUS,SOP,sop,am_pin_motor,84,device,False,none
global_sop_integer_plus_all_am_vacuum_line,INTEGER plus,INTEGER_PLUS,SOP,sop,am_vacuum_line,135,device,False,none
global_sop_integer_plus_all_ll_lifter_assy,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_lifter_assy,81,device,False,none
global_sop_integer_plus_all_gr_shut_off_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,gr_shut_off_valve,21,device,False,none
global_sop_integer_plus_all_pm_wall_temp_controller,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_wall_temp_controller,21,device,False,none
global_sop_integer_plus_all_ll_sensor_board,INTEGER plus,INTEGER_PLUS,SOP,sop,ll_sensor_board,17,device,False,none
global_sop_integer_plus_all_tm_laser_sensor_amp,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_laser_sensor_amp,17,device,False,none
global_sop_precia_all_tm_sensor_board,PRECIA,PRECIA,SOP,sop,tm_sensor_board,18,device,True,multi_device
global_sop_geneva_xp_cln_bubbler_cabinet_canister,GENEVA XP,GENEVA_XP,SOP,sop,global_sop_geneva_xp_cln_bubbler_cabinet_canister,20,device,False,none
global_sop_geneva_xp_rep_pm_load_lock,GENEVA XP,GENEVA_XP,SOP,sop,pm_load_lock,22,device,False,none
global_sop_geneva_xp_rep_pm_insulation_heater,GENEVA XP,GENEVA_XP,SOP,sop,pm_insulation_heater,21,device,False,none
global_sop_geneva_xp_rep_pm_mfc,GENEVA XP,GENEVA_XP,SOP,sop,pm_mfc,18,device,True,multi_device
global_sop_geneva_xp_rep_pm_vacuum_pressure_switch,GENEVA XP,GENEVA_XP,SOP,sop,pm_vacuum_pressure_switch,18,device,False,none
global_sop_geneva_xp_rep_pm_apc,GENEVA XP,GENEVA_XP,SOP,sop,pm_apc,15,device,False,none
global_sop_geneva_xp_rep_pm_load_lock_door_o_ring,GENEVA XP,GENEVA_XP,SOP,sop,pm_load_lock_door_o_ring,23,device,False,none
global_sop_geneva_xp_rep_pm_elbow_heater,GENEVA XP,GENEVA_XP,SOP,sop,pm_elbow_heater,22,device,False,none
global_sop_geneva_xp_sw_efem_log_backup,GENEVA XP,GENEVA_XP,SOP,sop,efem_log_backup,13,device,False,none
global_sop_geneva_xp_rep_pm_분배기,GENEVA XP,GENEVA_XP,SOP,sop,pm_분배기,13,device,False,none
global_sop_geneva_xp_adj_efem_efem_robot_leveling,GENEVA XP,GENEVA_XP,SOP,sop,efem_efem_robot_leveling,15,device,False,none
global_sop_geneva_xp_adj_apc_auto_calibration,GENEVA XP,GENEVA_XP,SOP,sop,apc_auto_calibration,15,device,False,none
global_sop_genevaxp_rep_pm_disc_rotation_sensor,GENEVA XP,GENEVA_XP,SOP,sop,pm_disc_rotation_sensor,15,device,False,none
global_sop_geneva_xp_rep_sub_bubbler_pt_sensor,GENEVA XP,GENEVA_XP,SOP,sop,sub_bubbler_pt_sensor,15,device,False,none
global_sop_geneva_xp_rep_pm_chamber_lock,GENEVA XP,GENEVA_XP,SOP,sop,pm_chamber_lock,14,device,False,none
global_sop_geneva_xp_rep_pm_o2_cell,GENEVA XP,GENEVA_XP,SOP,sop,pm_o2_cell,14,device,False,none
global_sop_geneva_xp_rep_efem_ffu_controller,GENEVA XP,GENEVA_XP,SOP,sop,efem_ffu_controller,21,device,False,none
ts_pdfs_pskh_ts_guide_geneva_xp_stage6_ll_wafer_vacuum_sensor_time_out,GENEVA XP,GENEVA_XP,SOP,sop,ts_pdfs_pskh_ts_guide_geneva_xp_stage6_ll_wafer_vacuum_sensor_time_out,10,device,False,none
global_sop_supra_n_mfg_all_aging_run,SUPRA N,SUPRA_N,SOP,sop,aging_run,14,device,False,none
global_sop_integer_plus_all_tm_pcw_manual_valve,INTEGER plus,INTEGER_PLUS,SOP,sop,tm_pcw_manual_valve,16,device,False,none
global_sop_integer_plus_all_efem_o2_gas_leak_detector,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_o2_gas_leak_detector,17,device,False,none
global_sop_integer_plus_all_efem_signal_tower,INTEGER plus,INTEGER_PLUS,SOP,sop,efem_signal_tower,18,device,True,multi_device
global_sop_integer_plus_all_pm_manometer,INTEGER plus,INTEGER_PLUS,SOP,sop,pm_manometer,20,device,True,multi_device
global_sop_supra_series_all_sw_operation,SUPRA N,SUPRA_N,SOP,sop,sw_operation,49,device,False,none
global_sop_supra_series_all_smart_match,SUPRA N,SUPRA_N,SOP,sop,smart_match,29,device,False,none
global_sop_supra_series_all_pm_bottom_structure,SUPRA N,SUPRA_N,SOP,sop,pm_bottom_structure,105,device,False,none
global_sop_supra_xp_all_tm_slot_vv_housing_o_ring,SUPRA XP,SUPRA_XP,SOP,sop,tm_slot_vv_housing_o_ring,38,device,False,none
global_sop_supra_xp_all_pm_temp_controller,SUPRA XP,SUPRA_XP,SOP,sop,pm_temp_controller,35,device,True,multi_device
global_sop_supra_xp_all_pm_process_kit,SUPRA XP,SUPRA_XP,SOP,sop,pm_process_kit,27,device,True,multi_device
