topic,doc_id,doc_type_norm,device_name_norm,candidate_devices,device_count,is_shared_gold,shared_scope_type_gold
efem_device_net_board,global_sop_precia_all_efem_device_net_board,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
efem_device_net_board,global_sop_integer_plus_all_efem_device_net_board,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_solenoid_valve,global_sop_supra_n_series_all_tm_solenoid_valve,sop,SUPRA_N,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
all_sw_installation_setting,global_sop_supra_xp_sw_all_sw_installation_setting,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
efem_ffu,global_sop_supra_n_series_all_efem_ffu,sop,SUPRA_N,GENEVA_XP|INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,5,True,global
tm_solenoid_valve,global_sop_precia_all_tm_solenoid_valve,sop,PRECIA,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
tm_epc,global_sop_integer_plus_all_tm_epc,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
pm_device_net_board,global_sop_supra_n_series_all_pm_device_net_board,sop,SUPRA_N,PRECIA|SUPRA_N|SUPRA_XP,3,True,multi_device
pm_heater_chuck,global_sop_supra_n_series_all_pm_heater_chuck,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
tm_pressure_relief_valve,global_sop_supra_n_series_all_tm_pressure_relief_valve,sop,SUPRA_N,PRECIA|SUPRA_N,2,True,multi_device
efem_controller,global_sop_supra_n_series_all_efem_controller,sop,SUPRA_N,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
tm_robot,global_sop_supra_n_series_all_tm_robot,sop,SUPRA_N,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
tm_epc,global_sop_precia_all_tm_epc,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_robot,global_sop_precia_all_tm_robot,sop,PRECIA,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
pm_device_net_board,global_sop_precia_all_pm_device_net_board,sop,PRECIA,PRECIA|SUPRA_N|SUPRA_XP,3,True,multi_device
efem_robot,global_sop_precia_all_efem_robot,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_pressure_relief_valve,global_sop_precia_all_tm_pressure_relief_valve,sop,PRECIA,PRECIA|SUPRA_N,2,True,multi_device
efem_signal_tower,global_sop_precia_all_efem_signal_tower,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
tm_sensor_board,global_sop_precia_all_tm_sensor_board,sop,PRECIA,PRECIA|SUPRA_N,2,True,multi_device
pm_mfc,global_sop_geneva_xp_rep_pm_mfc,sop,GENEVA_XP,GENEVA_XP|PRECIA,2,True,multi_device
efem_signal_tower,global_sop_integer_plus_all_efem_signal_tower,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
pm_manometer,global_sop_integer_plus_all_pm_manometer,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA|SUPRA_XP,3,True,multi_device
pm_temp_controller,global_sop_supra_xp_all_pm_temp_controller,sop,SUPRA_XP,GENEVA_XP|INTEGER_PLUS|SUPRA_XP,3,True,multi_device
pm_process_kit,global_sop_supra_xp_all_pm_process_kit,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_pendulum_valve,global_sop_supra_xp_all_pm_pendulum_valve,sop,SUPRA_XP,PRECIA|SUPRA_XP,2,True,multi_device
all_undocking,global_sop_supra_n_adj_all_undocking,sop,SUPRA_N,PRECIA|SUPRA_N|SUPRA_VPLUS,3,True,multi_device
all_power_turn_on_off,global_sop_supra_n_adj_all_power_turn_on_off,sop,SUPRA_N,SUPRA_N|SUPRA_VPLUS,2,True,multi_device
pm_controller,global_sop_geneva_xp_rep_pm_controller,sop,GENEVA_XP,GENEVA_XP|SUPRA_VPLUS,2,True,multi_device
tm_robot,global_sop_integer_plus_all_tm_robot,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
pm_temp_controller,global_sop_integer_plus_all_pm_temp_controller,sop,INTEGER_PLUS,GENEVA_XP|INTEGER_PLUS|SUPRA_XP,3,True,multi_device
tm_devicenet_board,global_sop_integer_plus_all_tm_devicenet_board,sop,INTEGER_PLUS,INTEGER_PLUS|SUPRA_N,2,True,multi_device
pm_solenoid_valve,global_sop_integer_plus_all_pm_solenoid_valve,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
efem_robot,global_sop_integer_plus_all_efem_robot,sop,INTEGER_PLUS,INTEGER_PLUS|PRECIA,2,True,multi_device
efem_ffu,global_sop_geneva_xp_rep_efem_ffu,sop,GENEVA_XP,GENEVA_XP|INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,5,True,global
pm_dual_epd,global_sop_supra_n_series_all_pm_dual_epd,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
efem_robot_sr8240,global_sop_supra_n_all_efem_robot_sr8240,sop,SUPRA_N,GENEVA_XP|SUPRA_N,2,True,multi_device
pm_gas_spring,global_sop_supra_n_series_all_pm_gas_spring,sop,SUPRA_N,INTEGER_PLUS|PRECIA|SUPRA_N,3,True,multi_device
efem_ffu,global_sop_integer_plus_all_efem_ffu,sop,INTEGER_PLUS,GENEVA_XP|INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,5,True,global
tm_branch_tap,global_sop_supra_n_series_all_tm_branch_tap,sop,SUPRA_N,INTEGER_PLUS|SUPRA_N,2,True,multi_device
efem_rfid_assy,global_sop_supra_n_series_all_efem_rfid_assy,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
tm_devicenet_board,global_sop_supra_n_series_all_tm_devicenet_board,sop,SUPRA_N,INTEGER_PLUS|SUPRA_N,2,True,multi_device
pm_process_kit,global_sop_supra_n_series_all_pm_process_kit,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
tm_multi_port,global_sop_supra_n_series_all_tm_multi_port,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
tm_sensor_board,global_sop_supra_n_all_tm_sensor_board,sop,SUPRA_N,PRECIA|SUPRA_N,2,True,multi_device
efem_controller,global_sop_precia_all_efem_controller,sop,PRECIA,INTEGER_PLUS|PRECIA|SUPRA_N|SUPRA_XP,4,True,multi_device
tm_device_net_board,global_sop_precia_all_tm_device_net_board,sop,PRECIA,PRECIA|SUPRA_XP,2,True,multi_device
setup_manual,set_up_manual_supra_np,manual,SUPRA_NP,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_supra_nm,manual,SUPRA_NM,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_supra_vm,manual,SUPRA_VM,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,global_sop_supra_n_series_all_tm_ffu,manual,SUPRA_N,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_precia,manual,PRECIA,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
tm_branch_tap,global_sop_precia_all_tm_branch_tap,sop,INTEGER_PLUS,INTEGER_PLUS|SUPRA_N,2,True,multi_device
pm_pneumatic_valve,global_sop_precia_all_pm_pneumatic_valve,sop,PRECIA,INTEGER_PLUS|PRECIA,2,True,multi_device
trace_tm_robot_abnormal,supra_n_all_trouble_shooting_guide_trace_tm_robot_abnormal,ts,SUPRA_XP,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
sub_unit_igs_block,global_sop_supra_n_all_sub_unit_igs_block,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
tm_ctc,global_sop_supra_n_series_all_tm_ctc,sop,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
setup_manual,set_up_manual_omnis,manual,OMNIS,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_omnis_plus,manual,OMNIS_PLUS,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
tm_multi_port,global_sop_supra_xp_all_tm_multi_port,sop,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
pm_temp_controller,global_sop_geneva_xp_rep_pm_temp_controller,sop,GENEVA_XP,GENEVA_XP|INTEGER_PLUS|SUPRA_XP,3,True,multi_device
efem_robot_sr8240,global_sop_geneva_xp_rep_efem_robot_sr8240,sop,GENEVA_XP,GENEVA_XP|SUPRA_N,2,True,multi_device
trace_epd_abnormal,supra_n_pm_trouble_shooting_guide_trace_epd_abnormal,ts,SUPRA_N,SUPRA_N|SUPRA_XP,2,True,multi_device
trace_efem_robot_abnormal,supra_n_all_trouble_shooting_guide_trace_efem_robot_abnormal,ts,SUPRA_N,INTEGER_PLUS|SUPRA_N,2,True,multi_device
trace_pin_move_abnormal,integer_plus_all_trouble_shooting_guide_trace_pin_move_abnormal,ts,INTEGER_PLUS,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_efem_robot_abnormal,integer_plus_all_trouble_shooting_guide_trace_efem_robot_abnormal,ts,INTEGER_PLUS,INTEGER_PLUS|SUPRA_N,2,True,multi_device
setup_manual,set_up_manual_ecolite_ii_400,manual,ECOLITE_II_400,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_ecolite_3000,manual,ECOLITE3000,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_ecolite_2000,manual,ECOLITE_2000,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
trace_tm_robot_abnormal,integer_plus_all_trouble_shooting_guide_trace_tm_robot_abnormal,ts,INTEGER_PLUS,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
trace_leak_rate_over,integer_plus_all_trouble_shooting_guide_trace_leak_rate_over,ts,INTEGER_PLUS,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_tm_robot_abnormal,supra_xp_tm_trouble_shooting_guide_trace_tm_robot_abnormal,ts,SUPRA_XP,INTEGER_PLUS|SUPRA_XP,2,True,multi_device
trace_leak_rate_over,supra_xp_pm_trouble_shooting_guide_trace_leak_rate_over,ts,SUPRA_XP,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_leak_rate_over,supra_n_all_trouble_shooting_guide_trace_leak_rate_over,ts,SUPRA_N,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_pin_move_abnormal,supra_n_all_trouble_shooting_guide_trace_pin_move_abnormal,ts,SUPRA_N,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_pin_move_abnormal,supra_xp_pm_trouble_shooting_guide_trace_pin_move_abnormal,ts,SUPRA_XP,INTEGER_PLUS|SUPRA_N|SUPRA_XP,3,True,multi_device
trace_epd_abnormal,supra_xp_pm_trouble_shooting_guide_trace_epd_abnormal,ts,SUPRA_XP,SUPRA_N|SUPRA_XP,2,True,multi_device
setup_manual,set_up_manual_zedius_xp_supra_xp,manual,SUPRA_XP,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
setup_manual,set_up_manual_geneva_stp300_xp_r6,manual,GENEVA_XP,ECOLITE3000|ECOLITE_2000|ECOLITE_II_400|GENEVA_XP|OMNIS|OMNIS_PLUS|PRECIA|SUPRA_N|SUPRA_NM|SUPRA_NP|SUPRA_VM|SUPRA_XP,12,True,global
