device_a,device_b,shared_keyword_count,jaccard_similarity,same_family_seed,evidence_type,notes
SUPRA_V,SUPRA_XP,581,0.2427,True,keyword_overlap,
INTEGER_IVR,ZIVIS_PLUS,227,0.2423,False,keyword_overlap,
INTEGER_IVR,ZEDIUS_XP,195,0.2419,False,keyword_overlap,
PRECIA,SUPRA_XP,563,0.2412,False,keyword_overlap,
SUPRA_VM,TIGMA_VPLUS,451,0.241,False,keyword_overlap,
PRECIA,ZIVIS_PLUS,342,0.2405,False,keyword_overlap,
SUPRA_III,TIGMA_VM,230,0.2401,False,keyword_overlap,
SUPRA_IV,TIGMA_VM,262,0.2401,False,keyword_overlap,
SUPRA_VPLUS,SUPRA_XP,881,0.2395,True,keyword_overlap,
INTEGER_XP,ZIVIS_PLUS,205,0.2392,False,keyword_overlap,
PRECIA,ZEDIUS_XP,309,0.2392,False,keyword_overlap,
OMNIS,SUPRA_III,289,0.239,False,keyword_overlap,
TIGMA_VM,ZEDIUS_XP,193,0.2377,False,keyword_overlap,
SUPRA_NM,TIGMA_VPLUS,297,0.2376,False,keyword_overlap,
PRECIA,SUPRA_VM,467,0.2372,False,keyword_overlap,
DAS2000,ZEDIUS_XP,175,0.2355,False,keyword_overlap,
SUPRA_V,ZEDIUS_XP,320,0.2355,False,keyword_overlap,
INTEGER_IVR,SUPRA_NM,202,0.2352,False,keyword_overlap,
INTEGER_IVR,SUPRA_III,225,0.2346,False,keyword_overlap,
INTEGER_XP,SUPRA_III,205,0.2338,False,keyword_overlap,
PRECIA,TERA21,383,0.233,False,keyword_overlap,
SUPRA_III,ZIVIS_PLUS,261,0.2328,False,keyword_overlap,
PRECIA,SUPRA_V,423,0.2323,False,keyword_overlap,
PRECIA,SUPRA_NM,313,0.2322,False,keyword_overlap,
SUPRA_NM,ZIVIS_PLUS,236,0.2307,False,keyword_overlap,
PRECIA,SUPRA_IV,365,0.2304,False,keyword_overlap,
OMNIS,SUPRA_NM,257,0.2299,False,keyword_overlap,
TERA21,TIGMA_VPLUS,356,0.2286,False,keyword_overlap,
ZEDIUS_XP,ZIVIS_PLUS,222,0.2272,False,keyword_overlap,
SUPRA_IV,ZIVIS_PLUS,286,0.2268,False,keyword_overlap,
OMNIS,SUPRA_VM,396,0.2258,False,keyword_overlap,
DAS2000,SUPRA_III,202,0.2247,False,keyword_overlap,
DAS2000,INTEGER_XP,143,0.2241,False,keyword_overlap,
OMNIS,TERA21,317,0.2226,False,keyword_overlap,
SUPRA_IV,SUPRA_VPLUS,657,0.2224,True,keyword_overlap,
OMNIS,SUPRA_IV,302,0.2219,False,keyword_overlap,
TIGMA_VM,TIGMA_VPLUS,264,0.2215,True,keyword_overlap,
DAS2000,TIGMA_VM,160,0.2201,False,keyword_overlap,
TERA21,ZIVIS_PLUS,293,0.22,False,keyword_overlap,
SUPRA_III,TERA21S,164,0.2198,False,keyword_overlap,
SUPRA_IV,SUPRA_XP,481,0.2187,True,keyword_overlap,
SUPRA_NM,TERA21S,141,0.2183,False,keyword_overlap,
INTEGER_PLUS,PRECIA,414,0.2166,False,keyword_overlap,
OMNIS,ZEDIUS_XP,234,0.2165,False,keyword_overlap,
INTEGER_PLUS,SUPRA_III,345,0.2159,False,keyword_overlap,
INTEGER_PLUS,ZIVIS_PLUS,341,0.2155,False,keyword_overlap,
OMNIS,PRECIA,332,0.2145,False,keyword_overlap,
TERA21,ZEDIUS_XP,258,0.2143,False,keyword_overlap,
TERA21S,ZEDIUS,60,0.2143,False,keyword_overlap,
INTEGER_IVR,SUPRA_IV,237,0.2131,False,keyword_overlap,
INTEGER_PLUS,SUPRA_V,422,0.213,False,keyword_overlap,
OMNIS,SUPRA_V,343,0.2124,False,keyword_overlap,
DAS2000,ZIVIS_PLUS,189,0.2119,False,keyword_overlap,
INTEGER_XP,TERA21S,103,0.2115,False,keyword_overlap,
SUPRA_VM,ZIVIS_PLUS,355,0.2114,False,keyword_overlap,
SUPRA_V,ZIVIS_PLUS,321,0.211,False,keyword_overlap,
OMNIS,ZIVIS_PLUS,257,0.2105,False,keyword_overlap,
SUPRA_XP,TERA21,477,0.2091,False,keyword_overlap,
DAS2000,TERA21S,105,0.2083,False,keyword_overlap,
OMNIS,SUPRA_XP,449,0.2077,False,keyword_overlap,
TERA21S,ZEDIUS_XP,125,0.2076,False,keyword_overlap,
INTEGER_PLUS,SUPRA_IV,361,0.2066,False,keyword_overlap,
SUPRA_VM,ZEDIUS_XP,320,0.2063,False,keyword_overlap,
TIGMA_VPLUS,ZEDIUS_XP,254,0.206,False,keyword_overlap,
INTEGER_XP,PRECIA,250,0.2059,False,keyword_overlap,
SUPRA_VPLUS,TERA21,627,0.2048,False,keyword_overlap,
DAS2000,INTEGER_IVR,150,0.2046,False,keyword_overlap,
SUPRA_N,SUPRA_V,835,0.2037,True,keyword_overlap,
DAS2000,SUPRA_IV,214,0.2034,False,keyword_overlap,
INTEGER_PLUS,SUPRA_NM,307,0.2029,False,keyword_overlap,
OMNIS_PLUS,SUPRA_NM,237,0.2024,False,keyword_overlap,
OMNIS,TIGMA_VPLUS,297,0.2022,False,keyword_overlap,
INTEGER_XP,OMNIS,198,0.202,False,keyword_overlap,
SUPRA_III,SUPRA_XP,422,0.2016,True,keyword_overlap,
SUPRA_XP,TIGMA_VPLUS,467,0.2016,False,keyword_overlap,
INTEGER_IVR,TERA21S,116,0.2014,False,keyword_overlap,
TERA21S,TIGMA_VM,116,0.2,False,keyword_overlap,
SUPRA_V,TIGMA_VM,274,0.1994,False,keyword_overlap,
INTEGER_XP,SUPRA_IV,207,0.199,False,keyword_overlap,
DAS2000,OMNIS,198,0.1982,False,keyword_overlap,
SUPRA_VM,TIGMA_VM,304,0.1979,False,keyword_overlap,
OMNIS_PLUS,SUPRA_IV,280,0.1977,False,keyword_overlap,
SUPRA_NM,SUPRA_XP,394,0.1972,True,keyword_overlap,
TERA21,TIGMA_VM,235,0.1965,False,keyword_overlap,
INTEGER_IVR,PRECIA,257,0.1963,False,keyword_overlap,
SUPRA_N,SUPRA_VM,841,0.1963,True,keyword_overlap,
OMNIS_PLUS,SUPRA_III,251,0.1961,False,keyword_overlap,
DAS2000,TERA21,220,0.1957,False,keyword_overlap,
INTEGER_PLUS,SUPRA_VM,423,0.1948,False,keyword_overlap,
OMNIS_PLUS,ZEDIUS_XP,219,0.194,False,keyword_overlap,
PRECIA,TIGMA_VPLUS,332,0.193,False,keyword_overlap,
INTEGER_PLUS,ZEDIUS_XP,284,0.1924,False,keyword_overlap,
INTEGER_XP,TIGMA_VM,140,0.1923,False,keyword_overlap,
SUPRA_III,SUPRA_VPLUS,553,0.1912,True,keyword_overlap,
OMNIS,TIGMA_VM,206,0.1911,False,keyword_overlap,
INTEGER_PLUS,TERA21,350,0.1906,False,keyword_overlap,
INTEGER_PLUS,SUPRA_XP,489,0.1905,False,keyword_overlap,
SUPRA_IV,TERA21S,172,0.1905,False,keyword_overlap,
TIGMA_VPLUS,ZIVIS_PLUS,264,0.1905,False,keyword_overlap,
SUPRA_XP,ZEDIUS_XP,373,0.1904,False,keyword_overlap,
OMNIS_PLUS,SUPRA_VM,347,0.189,False,keyword_overlap,
ZEDIUS,ZEDIUS_XP,103,0.1886,True,keyword_overlap,
SUPRA_N,SUPRA_XP,886,0.1885,True,keyword_overlap,
SUPRA_VPLUS,TIGMA_VPLUS,589,0.1885,False,keyword_overlap,
OMNIS_PLUS,TIGMA_VPLUS,284,0.1875,False,keyword_overlap,
INTEGER_XP,ZIVIS_XP,85,0.1872,False,keyword_overlap,
OMNIS_PLUS,SUPRA_V,314,0.1872,False,keyword_overlap,
SUPRA_XP,ZIVIS_PLUS,392,0.1864,False,keyword_overlap,
INTEGER_XP,TERA21,208,0.1862,False,keyword_overlap,
DAS2000,SUPRA_VI,92,0.1847,False,keyword_overlap,
INTEGER_PLUS,INTEGER_XP,253,0.1847,True,keyword_overlap,
SUPRA_VI,TERA21S,62,0.184,False,keyword_overlap,
DAS2000,ECOLITE3000,131,0.1837,True,keyword_overlap,
INTEGER_IVR,TERA21,220,0.1823,False,keyword_overlap,
OMNIS_PLUS,PRECIA,295,0.1823,False,keyword_overlap,
OMNIS_PLUS,ZIVIS_PLUS,233,0.1823,False,keyword_overlap,
DAS2000,SUPRA_VM,270,0.1821,False,keyword_overlap,
INTEGER_IVR,SUPRA_V,253,0.1819,False,keyword_overlap,
DAS2000,SUPRA_V,240,0.1817,False,keyword_overlap,
OMNIS_PLUS,SUPRA_XP,406,0.1814,False,keyword_overlap,
OMNIS_PLUS,TERA21,271,0.1803,False,keyword_overlap,
INTEGER_IVR,TIGMA_VM,147,0.1786,False,keyword_overlap,
TIGMA_VM,ZIVIS_PLUS,176,0.1774,False,keyword_overlap,
DAS2000,TIGMA_VPLUS,206,0.1771,False,keyword_overlap,
PRECIA,SUPRA_VPLUS,571,0.1753,False,keyword_overlap,
INTEGER_IVR,OMNIS,190,0.1743,False,keyword_overlap,
INTEGER_XP,SUPRA_V,227,0.1726,False,keyword_overlap,
DAS2000,PRECIA,218,0.1723,False,keyword_overlap,
INTEGER_IV,ZEDIUS,28,0.1718,False,keyword_overlap,
INTEGER_XP,ZEDIUS,75,0.1716,False,keyword_overlap,
SUPRA_NM,ZEDIUS,103,0.17,False,keyword_overlap,
ZEDIUS,ZIVIS_XP,42,0.17,False,keyword_overlap,
INTEGER_PLUS,OMNIS,296,0.1698,False,keyword_overlap,
ECOLITE3000,TERA21,201,0.1693,False,keyword_overlap,
ECOLITE3000,OMNIS,179,0.1685,False,keyword_overlap,
INTEGER_XP,OMNIS_PLUS,174,0.1678,False,keyword_overlap,
SUPRA_IV,SUPRA_N,666,0.1676,True,keyword_overlap,
ECOLITE3000,ZIVIS_PLUS,161,0.167,False,keyword_overlap,
TERA21,TERA21S,164,0.1658,True,keyword_overlap,
OMNIS,SUPRA_VPLUS,502,0.1651,False,keyword_overlap,
INTEGER_PLUS,TIGMA_VPLUS,313,0.1649,False,keyword_overlap,
PRECIA,TIGMA_VM,222,0.1647,False,keyword_overlap,
INTEGER_XP,TIGMA_VPLUS,190,0.1638,False,keyword_overlap,
INTEGER_IVR,TIGMA_VPLUS,204,0.1635,False,keyword_overlap,
ECOLITE3000,SUPRA_NM,143,0.1627,False,keyword_overlap,
OMNIS_PLUS,TIGMA_VM,184,0.1624,False,keyword_overlap,
ECOLITE3000,ZEDIUS_XP,134,0.1618,False,keyword_overlap,
ECOLITE3000,SUPRA_III,159,0.1613,False,keyword_overlap,
DAS2000,ZEDIUS,73,0.1594,False,keyword_overlap,
INTEGER_IVR,SUPRA_VM,252,0.1591,False,keyword_overlap,
SUPRA_NM,SUPRA_VPLUS,455,0.1586,True,keyword_overlap,
INTEGER_XP,SUPRA_VM,237,0.1583,False,keyword_overlap,
ECOLITE3000,SUPRA_IV,178,0.1572,False,keyword_overlap,
INTEGER_IVR,OMNIS_PLUS,178,0.1568,False,keyword_overlap,
SUPRA_VI,ZEDIUS,43,0.1547,False,keyword_overlap,
SUPRA_N,TERA21,631,0.1544,False,keyword_overlap,
INTEGER_IVR,ZEDIUS,82,0.1541,False,keyword_overlap,
DAS2000,OMNIS_PLUS,164,0.1538,False,keyword_overlap,
SUPRA_V,TERA21S,181,0.1522,False,keyword_overlap,
INTEGER_PLUS,SUPRA_VPLUS,523,0.151,False,keyword_overlap,
TERA21S,ZIVIS_PLUS,116,0.1499,False,keyword_overlap,
SUPRA_NM,SUPRA_VI,100,0.1497,True,keyword_overlap,
SUPRA_VI,ZEDIUS_XP,92,0.1494,False,keyword_overlap,
ECOLITE3000,INTEGER_XP,107,0.149,False,keyword_overlap,
INTEGER_XP,SUPRA_VI,74,0.1489,False,keyword_overlap,
DAS2000,ZIVIS_XP,72,0.1481,False,keyword_overlap,
INTEGER_PLUS,OMNIS_PLUS,267,0.1479,False,keyword_overlap,
ECOLITE3000,SUPRA_VM,231,0.1475,False,keyword_overlap,
SUPRA_III,SUPRA_N,574,0.1472,True,keyword_overlap,
ZEDIUS_XP,ZIVIS_XP,86,0.1458,False,keyword_overlap,
ECOLITE3000,SUPRA_V,204,0.1456,False,keyword_overlap,
SUPRA_VI,TIGMA_VM,86,0.1455,False,keyword_overlap,
PRECIA,SUPRA_N,616,0.1453,False,keyword_overlap,
SUPRA_XP,TIGMA_VM,288,0.1431,False,keyword_overlap,
DAS2000,INTEGER_PLUS,205,0.1427,False,keyword_overlap,
TERA21S,TIGMA_VPLUS,147,0.1426,False,keyword_overlap,
ECOLITE3000,PRECIA,190,0.1421,False,keyword_overlap,
SUPRA_VPLUS,ZIVIS_PLUS,424,0.1412,False,keyword_overlap,
SUPRA_N,TIGMA_VPLUS,585,0.1407,False,keyword_overlap,
OMNIS_PLUS,SUPRA_VPLUS,438,0.1396,False,keyword_overlap,
INTEGER_XP,SUPRA_XP,267,0.1385,False,keyword_overlap,
SUPRA_III,SUPRA_VI,108,0.1379,True,keyword_overlap,
SUPRA_NP,ZEDIUS,23,0.1377,False,keyword_overlap,
SUPRA_VI,ZIVIS_XP,42,0.1373,False,keyword_overlap,
DAS2000,SUPRA_XP,267,0.1371,False,keyword_overlap,
ECOLITE3000,TIGMA_VM,112,0.1368,False,keyword_overlap,
SUPRA_III,ZEDIUS,100,0.1366,False,keyword_overlap,
TERA21S,ZIVIS_XP,44,0.1362,False,keyword_overlap,
ECOLITE3000,INTEGER_IVR,111,0.136,False,keyword_overlap,
INTEGER_IVR,SUPRA_XP,275,0.136,False,keyword_overlap,
INTEGER_PLUS,TIGMA_VM,207,0.136,False,keyword_overlap,
ZIVIS_PLUS,ZIVIS_XP,100,0.1353,True,keyword_overlap,
ECOLITE3000,TIGMA_VPLUS,167,0.134,False,keyword_overlap,
INTEGER_IVR,ZIVIS_XP,75,0.1325,False,keyword_overlap,
ECOLITE3000,TERA21S,75,0.1298,False,keyword_overlap,
SUPRA_VI_PLUS,TERA21S,31,0.1297,False,keyword_overlap,
SUPRA_IV,SUPRA_VI,121,0.1294,True,keyword_overlap,
OMNIS,TERA21S,114,0.1278,False,keyword_overlap,
INTEGER_PLUS,SUPRA_N,567,0.1275,False,keyword_overlap,
INTEGER_IVR,SUPRA_VI,76,0.1273,False,keyword_overlap,
SUPRA_NM,ZIVIS_XP,83,0.1271,False,keyword_overlap,
INTEGER_IV,TERA21S,30,0.1255,False,keyword_overlap,
SUPRA_VI,ZIVIS_PLUS,96,0.1239,False,keyword_overlap,
SUPRA_N,SUPRA_NM,477,0.1231,True,keyword_overlap,
ZEDIUS,ZIVIS_PLUS,89,0.1231,False,keyword_overlap,
ECOLITE3000,ZEDIUS,63,0.123,False,keyword_overlap,
SUPRA_VI,TERA21,124,0.1228,False,keyword_overlap,
OMNIS,ZIVIS_XP,104,0.1222,False,keyword_overlap,
ECOLITE3000,SUPRA_VI,69,0.1221,False,keyword_overlap,
ECOLITE3000,INTEGER_PLUS,183,0.1218,False,keyword_overlap,
TIGMA_VM,ZIVIS_XP,70,0.1217,False,keyword_overlap,
TIGMA_VM,ZEDIUS,67,0.1216,False,keyword_overlap,
ECOLITE3000,OMNIS_PLUS,138,0.1215,False,keyword_overlap,
SUPRA_VPLUS,ZEDIUS_XP,353,0.1213,False,keyword_overlap,
SUPRA_VI,TERA21I,25,0.1202,False,keyword_overlap,
ECOLITE3000,SUPRA_XP,242,0.12,False,keyword_overlap,
ECOLITE_II_300,ECOLITE_II_400,12,0.12,True,keyword_overlap,
ECOLITE3000,ZIVIS_XP,64,0.119,False,keyword_overlap,
PRECIA,TERA21S,136,0.1176,False,keyword_overlap,
OMNIS_PLUS,TERA21S,109,0.1172,False,keyword_overlap,
OMNIS,SUPRA_VI,103,0.1165,False,keyword_overlap,
SUPRA_VI_PLUS,ZEDIUS,20,0.1163,False,keyword_overlap,
INTEGER_IV,SUPRA_VI,26,0.1161,False,keyword_overlap,
SUPRA_III,ZIVIS_XP,89,0.1156,False,keyword_overlap,
SUPRA_VM,TERA21S,160,0.1141,False,keyword_overlap,
SUPRA_N,ZIVIS_PLUS,455,0.1138,False,keyword_overlap,
ECOLITE_II_400,ZEDIUS,20,0.113,False,keyword_overlap,
OMNIS,SUPRA_N,460,0.1119,False,keyword_overlap,
SUPRA_VI_PLUS,ZIVIS_XP,22,0.1117,False,keyword_overlap,
SUPRA_VI,SUPRA_VI_PLUS,25,0.1106,True,keyword_overlap,
SUPRA_VPLUS,TIGMA_VM,321,0.1103,False,keyword_overlap,
ALL,TERA21S,35,0.1087,False,keyword_overlap,
SUPRA_IV,ZEDIUS,97,0.1078,False,keyword_overlap,
OMNIS,ZEDIUS,90,0.1074,False,keyword_overlap,
SUPRA_V,SUPRA_VI,131,0.1074,True,keyword_overlap,
SUPRA_VI,TIGMA_VPLUS,112,0.107,False,keyword_overlap,
INTEGER_PLUS,TERA21S,140,0.1068,False,keyword_overlap,
ALL,INTEGER_XP,51,0.1067,False,keyword_overlap,
INTEGER_IV,ZIVIS_XP,21,0.1066,False,keyword_overlap,
ECOLITE_II_400,INTEGER_IV,12,0.1053,False,keyword_overlap,
DAS2000,SUPRA_VPLUS,299,0.1051,False,keyword_overlap,
ALL,DAS2000,52,0.1048,True,keyword_overlap,
SUPRA_VI,SUPRA_VM,146,0.1045,True,keyword_overlap,
ALL,SUPRA_NM,68,0.1033,False,keyword_overlap,
SUPRA_NP,TERA21S,25,0.1029,False,keyword_overlap,
OMNIS_PLUS,SUPRA_VI,95,0.1027,False,keyword_overlap,
INTEGER_IV,INTEGER_IVR,50,0.1014,True,keyword_overlap,
INTEGER_IV,INTEGER_XP,40,0.0998,True,keyword_overlap,
ALL,SUPRA_III,77,0.0997,False,keyword_overlap,
ALL,INTEGER_IVR,57,0.0993,False,keyword_overlap,
PRECIA,ZIVIS_XP,112,0.0992,False,keyword_overlap,
TERA21,ZEDIUS,97,0.0992,False,keyword_overlap,
SUPRA_IV,ZIVIS_XP,92,0.0987,False,keyword_overlap,
SUPRA_N,ZEDIUS_XP,385,0.0986,False,keyword_overlap,
ALL,ECOLITE3000,53,0.0983,True,keyword_overlap,
TERA21,ZIVIS_XP,98,0.0976,False,keyword_overlap,
ECOLITE3000,SUPRA_VPLUS,282,0.097,False,keyword_overlap,
SUPRA_NP,ZIVIS_XP,19,0.096,False,keyword_overlap,
INTEGER_IV,TERA21I,9,0.0957,False,keyword_overlap,
INTEGER_IVR,SUPRA_VPLUS,282,0.0957,False,keyword_overlap,
ALL,ZEDIUS_XP,58,0.0954,False,keyword_overlap,
OMNIS_PLUS,SUPRA_N,399,0.0949,False,keyword_overlap,
ECOLITE_II,ETC,9,0.0947,False,keyword_overlap,
INTEGER_XP,SUPRA_VPLUS,270,0.0945,False,keyword_overlap,
PRECIA,ZEDIUS,104,0.0937,False,keyword_overlap,
ECOLITE_3000,ECOLITE_II_400,8,0.092,True,keyword_overlap,
OMNIS_PLUS,ZEDIUS,81,0.092,False,keyword_overlap,
INTEGER_IV,SUPRA_NP,10,0.0917,False,keyword_overlap,
SUPRA_V,ZEDIUS,108,0.0912,False,keyword_overlap,
SUPRA_NP,SUPRA_VI_PLUS,10,0.0909,True,keyword_overlap,
PRECIA,SUPRA_VI,106,0.0908,False,keyword_overlap,
OMNIS_PLUS,ZIVIS_XP,82,0.0905,False,keyword_overlap,
INTEGER_IV,SUPRA_VI_PLUS,10,0.0901,False,keyword_overlap,
ALL,ZEDIUS,23,0.0898,False,keyword_overlap,
TIGMA_VPLUS,ZEDIUS,90,0.0891,False,keyword_overlap,
TIGMA_VPLUS,ZIVIS_XP,92,0.0889,False,keyword_overlap,
ALL,TERA21,89,0.0887,False,keyword_overlap,
ECOLITE_3000,ECOLITE_II,6,0.0882,True,keyword_overlap,
SUPRA_NP,SUPRA_VI,20,0.0873,True,keyword_overlap,
ECOLITE_3000,ECOLITE_II_300,6,0.087,True,keyword_overlap,
ALL,SUPRA_IV,81,0.0868,False,keyword_overlap,
ECOLITE_II_300,ZEDIUS,14,0.0859,False,keyword_overlap,
SUPRA_N,TIGMA_VM,337,0.0859,False,keyword_overlap,
ECOLITE3000,ECOLITE_II_400,40,0.0851,False,keyword_overlap,
ETC,TERA21S,21,0.085,False,keyword_overlap,
ALL,SUPRA_V,102,0.0845,False,keyword_overlap,
ALL,ECOLITE_II_300,15,0.0838,False,keyword_overlap,
SUPRA_V,ZIVIS_XP,101,0.0829,False,keyword_overlap,
ALL,ZIVIS_PLUS,63,0.0822,False,keyword_overlap,
SUPRA_XP,TERA21S,153,0.0818,False,keyword_overlap,
DAS2000,ECOLITE_II_400,35,0.0812,False,keyword_overlap,
SUPRA_VI_PLUS,TIGMA_VM,41,0.0809,False,keyword_overlap,
ALL,ECOLITE_II_400,16,0.0808,False,keyword_overlap,
SUPRA_VM,ZIVIS_XP,113,0.0808,False,keyword_overlap,
TERA21I,ZEDIUS,13,0.0807,False,keyword_overlap,
DAS2000,INTEGER_IV,34,0.0798,False,keyword_overlap,
DAS2000,SUPRA_VI_PLUS,34,0.0796,False,keyword_overlap,
ETC,ZEDIUS,14,0.0795,False,keyword_overlap,
INTEGER_PLUS,ZEDIUS,101,0.0794,False,keyword_overlap,
ETC,SUPRA_VI,18,0.0779,False,keyword_overlap,
ALL,INTEGER_IV,15,0.0777,False,keyword_overlap,
ECOLITE_II_400,SUPRA_NP,9,0.0776,False,keyword_overlap,
DAS2000,SUPRA_NP,33,0.0775,False,keyword_overlap,
SUPRA_VM,ZEDIUS,106,0.0769,False,keyword_overlap,
DAS2000,SUPRA_N,297,0.0766,False,keyword_overlap,
SUPRA_VI_PLUS,ZEDIUS_XP,41,0.0762,False,keyword_overlap,
ALL,GENEVA_XP,20,0.0755,False,keyword_overlap,
ALL,OMNIS,66,0.0751,False,keyword_overlap,
INTEGER_PLUS,SUPRA_VI,100,0.0751,False,keyword_overlap,
GENEVA_XP,ZEDIUS_XP,45,0.0738,False,keyword_overlap,
ALL,ZIVIS_XP,21,0.0737,False,keyword_overlap,
INTEGER_IVR,SUPRA_N,292,0.0737,False,keyword_overlap,
ECOLITE_3000,ETC,6,0.0732,False,keyword_overlap,
ECOLITE_II,ZEDIUS,12,0.0732,False,keyword_overlap,
INTEGER_XP,SUPRA_NP,30,0.0732,False,keyword_overlap,
INTEGER_PLUS,ZIVIS_XP,95,0.0728,False,keyword_overlap,
INTEGER_XP,SUPRA_VI_PLUS,30,0.0728,False,keyword_overlap,
ETC,SUPRA_NP,8,0.0727,False,keyword_overlap,
ALL,ETC,14,0.0725,True,keyword_overlap,
INTEGER_IV,ZEDIUS_XP,39,0.0724,False,keyword_overlap,
ALL,ECOLITE_II,13,0.0722,False,keyword_overlap,
ECOLITE_II_300,ETC,7,0.0714,False,keyword_overlap,
GENEVA_XP,TERA21S,23,0.0712,False,keyword_overlap,
ECOLITE_II_400,SUPRA_VI,17,0.0711,False,keyword_overlap,
SUPRA_VI,SUPRA_XP,133,0.0711,True,keyword_overlap,
INTEGER_XP,SUPRA_N,275,0.0709,False,keyword_overlap,
ECOLITE_II_400,TERA21S,18,0.07,False,keyword_overlap,
ECOLITE3000,SUPRA_N,275,0.0698,False,keyword_overlap,
ECOLITE_II_400,INTEGER_XP,29,0.0694,False,keyword_overlap,
SUPRA_NM,SUPRA_NP,41,0.0688,True,keyword_overlap,
SUPRA_NP,ZEDIUS_XP,37,0.0685,False,keyword_overlap,
ALL,TIGMA_VPLUS,71,0.0679,False,keyword_overlap,
ALL,PRECIA,78,0.0676,False,keyword_overlap,
ALL,SUPRA_VM,95,0.0676,False,keyword_overlap,
ALL,TIGMA_VM,40,0.0672,False,keyword_overlap,
INTEGER_IV,SUPRA_NM,40,0.0669,False,keyword_overlap,
ECOLITE_II_400,ZIVIS_XP,14,0.0667,False,keyword_overlap,
INTEGER_IV,TIGMA_VM,34,0.0663,False,keyword_overlap,
ALL,SUPRA_VI,21,0.0662,False,keyword_overlap,
GENEVA_XP,INTEGER_XP,32,0.0658,False,keyword_overlap,
ECOLITE3000,INTEGER_IV,31,0.0655,False,keyword_overlap,
SUPRA_XP,ZIVIS_XP,121,0.0654,False,keyword_overlap,
SUPRA_NM,SUPRA_VI_PLUS,39,0.065,True,keyword_overlap,
ECOLITE_II_400,SUPRA_NM,39,0.0645,False,keyword_overlap,
SUPRA_VPLUS,TERA21S,179,0.0645,False,keyword_overlap,
ALL,INTEGER_PLUS,84,0.0643,False,keyword_overlap,
SUPRA_XP,ZEDIUS,117,0.064,False,keyword_overlap,
ETC,ZIVIS_XP,13,0.0637,False,keyword_overlap,
DAS2000,GENEVA_XP,32,0.0634,False,keyword_overlap,
ECOLITE_II,SUPRA_VI,14,0.0633,False,keyword_overlap,
DAS2000,ETC,27,0.0625,True,keyword_overlap,
ETC,INTEGER_IV,7,0.0625,False,keyword_overlap,
INTEGER_IV,ZIVIS_PLUS,43,0.0616,False,keyword_overlap,
ECOLITE_II,INTEGER_IV,6,0.0606,False,keyword_overlap,
ETC,INTEGER_XP,25,0.0602,False,keyword_overlap,
SUPRA_NP,TIGMA_VM,31,0.0602,False,keyword_overlap,
ECOLITE_II,SUPRA_VI_PLUS,6,0.06,False,keyword_overlap,
ECOLITE_II_300,INTEGER_IV,6,0.06,False,keyword_overlap,
INTEGER_IV,SUPRA_III,43,0.0599,False,keyword_overlap,
SUPRA_III,SUPRA_VI_PLUS,43,0.0598,True,keyword_overlap,
